time,open,high,low,close,Volume
1758229200,3642.92,3643.205,3636.145,3640.1,17750
1758243600,3640.105,3660.075,3632.38,3658.875,80995
1758258000,3658.895,3661.355,3643.4,3655.64,61478
1758272400,3655.8,3659.29,3644.495,3649.445,69130
1758286800,3649.42,3676.015,3643.785,3668.345,175529
1758301200,3668.285,3685.74,3668.105,3684.975,85418
1758488400,3687.77,3692.29,3683.545,3691.04,28565
1758502800,3690.99,3697.59,3685.46,3692.215,75329
1758517200,3692.29,3722.58,3691.92,3720.31,81244
1758531600,3720.3,3728.49,3712.25,3721.635,86700
1758546000,3721.67,3739.63,3713.75,3737.085,172584
1758560400,3737.09,3748.86,3737.09,3746.355,60364
1758574800,3747.125,3750.675,3738.125,3747.26,25147
1758589200,3747.25,3759.42,3736.66,3744.87,76209
1758603600,3744.665,3775.285,3743.385,3774.485,81125
1758618000,3774.48,3791.255,3774.205,3784.495,107770
1758632400,3784.48,3788.81,3765.03,3779.35,179729
1758646800,3779.385,3785.84,3752.075,3764.205,100320
1758661200,3765.31,3770.07,3759.09,3765.22,20039
1758675600,3765.28,3771.945,3750.51,3768.34,62900
1758690000,3768.345,3779.34,3767.145,3770.13,43601
1758704400,3770.045,3771.775,3759.68,3768.175,64123
1758718800,3768.16,3772.97,3732.37,3735.765,134140
1758733200,3735.82,3738.965,3717.52,3736.165,63538
1758747600,3739.61,3751.535,3739.025,3749.03,24694
1758762000,3748.845,3750.59,3729.635,3738.18,59768
1758776400,3738.24,3761.69,3734.17,3756.58,61216
1758790800,3756.65,3761.28,3730.66,3738.855,97749
1758805200,3738.89,3745.815,3722.22,3733.7,147318
1758819600,3733.695,3758.43,3732.405,3749.44,75682
1758834000,3747.235,3751.615,3738.175,3749.72,23268
1758848400,3749.75,3753.31,3734.44,3747.72,49479
1758862800,3747.665,3755.24,3739.345,3753.015,52017
1758877200,3752.99,3757.505,3742.955,3752.045,57395
1758891600,3752.055,3783.885,3751.225,3774.365,164083
1758906000,3774.39,3783.355,3759.66,3759.855,61569
1759093200,3764.745,3787.61,3763.45,3787.135,28608
1759107600,3787.075,3809.195,3767.91,3805.1,97447
1759122000,3805.15,3819.915,3801.29,3818.845,95964
1759136400,3818.825,3831.45,3806.47,3813.795,106112
1759150800,3813.84,3833.655,3809.425,3830.45,156766
1759165200,3830.465,3834.3,3822.6,3833.88,70628
1759179600,3832.57,3840.905,3825.78,3839.155,20283
1759194000,3839.03,3867.405,3838.11,3867.175,73833
1759208400,3867.17,3871.89,3807.61,3816.37,108983
1759222800,3816.29,3821.805,3793.175,3819.475,113035
1759237200,3819.495,3854.7,3811.735,3846.025,160299
1759251600,3846.045,3860.79,3839.655,3858.45,61828
1759266000,3860.08,3865.375,3854.775,3860.535,19918
1759280400,3860.47,3875.56,3855.705,3864.99,69393
1759294800,3864.98,3895.5,3853.38,3892.95,83628
1759309200,3892.94,3895.155,3864.65,3870.575,86821
1759323600,3870.585,3878.88,3856.335,3870.955,184150
1759338000,3870.95,3871.91,3855.155,3865.53,64879
1759352400,3864.41,3866.7,3856.075,3856.09,25872
1759366800,3856.055,3870.06,3852.835,3864.3,50845
1759381200,3864.34,3878.86,3861.7,3874.66,68598
1759395600,3874.625,3892.185,3873.465,3884.515,79829
1759410000,3884.525,3897.13,3819.425,3845.035,223465
1759424400,3845.06,3859.395,3840.61,3856.56,89128
1759438800,3857.14,3863.715,3852.07,3856.88,15305
1759453200,3856.82,3862.825,3838.07,3844.1,46792
1759467600,3844.24,3865.805,3844.035,3865.01,48366
1759482000,3865,3875.135,3854.66,3873.95,70634
1759496400,3873.965,3891.76,3866.425,3883.74,207040
1759510800,3883.795,3889.295,3876.985,3886.455,98442
1759698000,3891.335,3920.975,3884.115,3900.39,68286
1759712400,3900.445,3940.55,3899.8,3938.89,70131
1759726800,3938.83,3949.67,3922.5,3942.61,107636
1759741200,3942.65,3946.76,3926.465,3934.385,121826
1759755600,3934.375,3970.2,3927.21,3954.175,184462
1759770000,3954.27,3965.155,3951.145,3960.69,79040
1759784400,3960.62,3977.4,3958.86,3962.81,58611
1759798800,3962.805,3977.045,3955.87,3976.05,65412
1759813200,3975.89,3977.015,3941.055,3951.325,102658
1759827600,3951.32,3980.095,3951.135,3979.5,88490
1759842000,3979.38,3991.135,3961.75,3976.825,219997
1759856400,3976.845,3987.855,3974.155,3984.33,108498
1759870800,3986.275,3999.445,3985.015,3992.325,31589
1759885200,3992.305,4027.355,3984.32,4026.9,85077
1759899600,4026.81,4040.595,4021.33,4036.455,86756
1759914000,4036.46,4049.7,4030.77,4040.25,92375
1759928400,4040.2,4059.35,4026.175,4056.7,180246
1759942800,4056.695,4058.1,4032.13,4041.9,137572
1759957200,4036.775,4037.1,4001.33,4023.095,64897
1759971600,4023.11,4041.265,4002.725,4038.98,115460
1759986000,4038.945,4043.7,4022.67,4038.22,90574
1760000400,4038.3,4053.72,4033.63,4053.5,80147
1760014800,4053.575,4058.11,3963.905,3969.025,374889
1760029200,3969.08,3982.175,3944.435,3976.24,206006
1760043600,3977.265,3994.52,3958.855,3991.3,46410
1760058000,3991.27,3992.48,3947.02,3966.29,123546
1760072400,3966.285,3995.005,3952.855,3991.98,152300
1760086800,3992.005,4006.735,3980.12,3985.805,122340
1760101200,3985.765,4023,3970.855,3983.545,330102
1760115600,3983.595,4021.51,3975.235,4016.68,182447
1760302800,4017.625,4060.545,3998.15,4043.97,107795
1760317200,4044.145,4059.485,4035.99,4056.255,118547
1760331600,4056.225,4079.25,4054.81,4077.87,145985
1760346000,4077.895,4086.215,4070.215,4079.76,92123
1760360400,4079.795,4117.42,4078.485,4105.715,167898
1760374800,4105.8,4115.61,4090.935,4110.335,94933
1760389200,4112.47,4132.025,4106.68,4124.62,53290
1760403600,4124.54,4170.03,4123.335,4168.16,136132
1760418000,4168.08,4179.935,4090.145,4143.95,259036
1760432400,4143.9,4144.615,4103.28,4106.47,136680
1760446800,4106.465,4155.495,4097.74,4140.39,224099
1760461200,4140.36,4152.955,4134.695,4142.625,111756
1760475600,4140.755,4169.82,4140.735,4162.53,44719
1760490000,4162.505,4190.95,4162.075,4179.805,95014
1760504400,4179.76,4218.405,4176.795,4208.075,89494
1760518800,4208.1,4212.355,4164.24,4190.835,127496
1760533200,4190.865,4212.615,4179.47,4199.155,209918
1760547600,4199.18,4213.54,4182.71,4207.77,122604
1760562000,4212.565,4227.4,4199.965,4210.55,50880
1760576400,4210.535,4242.38,4210.5,4233.53,101787
1760590800,4233.515,4236.21,4203.55,4233.11,109050
1760605200,4233.125,4251.345,4221.98,4236.235,95851
1760619600,4236.25,4292.195,4235.04,4282.81,255036
1760634000,4282.825,4330.9,4273.3,4326.065,168105
1760648400,4338.03,4380.99,4333.165,4358.145,115528
1760662800,4358.17,4377.535,4278.68,4376.62,221853
1760677200,4376.585,4378.765,4306.255,4347.53,188891
1760691600,4347.555,4348.47,4283.665,4314.73,209776
1760706000,4314.8,4317.79,4200.53,4205.12,449286
1760720400,4205.24,4255.31,4185.91,4253.975,249597
1760907600,4267.075,4268.27,4219.115,4249.425,102344
1760922000,4249.36,4271.285,4229.325,4266.15,147270
1760936400,4266.37,4266.815,4221.205,4258.7,158499
1760950800,4258.71,4327.445,4245.77,4323.54,143145
1760965200,4323.55,4355.65,4292.85,4347.75,266079
1760979600,4347.74,4381.44,4337.195,4355.795,169159
1760994000,4366.33,4375.625,4356.25,4368.645,62429
1761008400,4368.61,4372.445,4333.095,4342.005,112478
1761022800,4341.81,4344.31,4245.245,4274.15,192761
1761037200,4274.145,4278.095,4205.87,4211.095,169172
1761051600,4211.33,4225.485,4080.58,4113.455,457361
1761066000,4113.415,4131.1,4093.83,4125.27,163887
1761080400,4124.28,4129.215,4004.28,4075.135,162975
1761094800,4075.145,4143.425,4064.545,4128.375,190141
1761109200,4128.47,4161.535,4053.35,4070.68,201373
1761123600,4070.595,4101.695,4015.125,4033.87,257691
1761138000,4034.005,4085.48,4011.095,4059.27,299597
1761152400,4059.08,4113.8,4044.02,4099.4,138057
1761166800,4110.085,4111.195,4065.9,4082.15,106878
1761181200,4082.17,4101.035,4071.845,4089.605,146480
1761195600,4089.68,4137.745,4084.075,4116.33,165002
1761210000,4116.43,4129.25,4100.14,4127.135,109768
1761224400,4127.225,4154.79,4125.75,4132.995,220168
1761238800,4132.99,4143.6,4107.535,4126.075,115500
1761253200,4125.85,4133.895,4106.035,4132.87,37345
1761267600,4132.9,4144.535,4102.8,4111.555,97239
1761282000,4111.92,4118.025,4047.555,4065.515,152177
1761296400,4065.5,4094.18,4043.515,4082.265,143458
1761310800,4082.36,4138.67,4078.975,4129.495,229794
1761325200,4129.535,4134.39,4096.625,4114.125,92964
1761512400,4085.7,4109,4058.205,4081.27,78802
1761526800,4081.295,4097.87,4053.71,4068.835,120956
1761541200,4068.855,4085.17,4024.34,4043.58,138972
1761555600,4043.545,4050.41,4015.29,4046.06,168050
1761570000,4046.115,4050.61,3971.445,3999.44,306476
1761584400,3999.47,4010.305,3979.335,3981.985,188259
1761598800,3990.015,4009.7,3972.93,4006.67,59129
1761613200,4006.65,4019.805,3963.62,3973.695,120580
1761627600,3973.94,3980.1,3896.46,3897.275,148190
1761642000,3897.285,3931.53,3886.465,3912.815,177351
1761656400,3912.95,3969.615,3912.26,3958.73,229854
1761670800,3958.735,3970.465,3945.15,3953,105566
1761685200,3955.945,3982.495,3907.925,3975.325,60445
1761699600,3975.285,3979.9,3943.825,3952.085,125528
1761714000,3952.23,4018.595,3950.79,4017.015,122831
1761728400,4016.98,4030.34,4013.5,4025.55,171166
1761742800,4025.56,4025.79,3989.52,3992.865,229970
1761757200,3992.795,4007.875,3927.86,3930.615,258818
1761771600,3921.61,3964.36,3916.59,3950.48,57040
1761786000,3950.485,3982.665,3915.52,3972.47,138345
1761800400,3972.505,3978.24,3947.035,3976.585,136103
1761814800,3976.56,4011.705,3961.215,3961.48,165385
1761829200,3961.44,4015.1,3960.32,4001.55,248217
1761843600,4001.545,4027.235,3994.485,4024.525,125707
1761858000,4021.47,4046.595,4016.46,4025.01,51640
1761872400,4025.04,4039.58,3989.065,4005.9,135585
1761886800,4005.455,4026.82,3994.115,4010.575,152798
1761901200,4010.46,4036.435,3998.875,4023.06,139312
1761915600,4023.05,4035.725,3972.285,3980.72,274776
1761930000,3980.735,4010.08,3980.575,4002.81,102748
1762120800,3995.47,4002.075,3962.275,3996.09,70121
1762135200,3996.055,4018.33,3990.445,4013.935,73799
1762149600,4013.93,4028.13,3993.1,4000.63,130651
1762164000,4000.675,4020.765,3994.34,4016.155,140039
1762178400,4015.96,4030.825,3995.22,4006.23,219405
1762192800,4006.305,4015.06,3995.445,4001.605,81030
1762207200,4005.115,4005.27,3978.675,3987.545,77273
1762221600,3987.52,3999.465,3972.805,3973.355,79615
1762236000,3973.365,4000.855,3966.605,3991.27,88574
1762250400,3991.245,4000.085,3971.855,3975.82,141739
1762264800,3975.8,3977.875,3928.685,3955.08,178497
1762279200,3954.825,3956.93,3930.56,3932.1,83580
1762293600,3937.93,3949.56,3929.35,3937.125,58895
1762308000,3937.06,3978.78,3935.725,3965.055,69364
1762322400,3965.07,3987.34,3962.04,3971.955,64794
1762336800,3971.885,3979.48,3956.1,3975.91,65624
1762351200,3975.925,3990.565,3964.27,3982.12,139998
1762365600,3982.145,3990.175,3977.995,3980.115,50190
1762380000,3968.78,3977.795,3964.455,3976.765,36605
1762394400,3976.785,3990.87,3974.38,3987.645,33665
1762408800,3987.655,4017.06,3982.365,4011.01,87890
1762423200,4011,4019.645,4002.95,4012.33,111533
1762437600,4012.315,4014.09,3965.71,3986.34,239938
1762452000,3986.35,3995.365,3976.88,3977.14,124130
1762466400,3979.465,4002.85,3978.435,4001.845,43685
1762480800,4001.82,4003.41,3985.605,3994.95,43910
1762495200,3994.96,4014.29,3992.25,4006.76,64624
1762509600,4006.81,4011.925,3991.69,3997.855,92429
1762524000,3997.885,4027.595,3984.01,4005.6,181655
1762538400,4005.595,4009.325,3994.64,4001.275,101458
1762725600,4005.675,4053.47,4004.355,4044.07,69705
1762740000,4043.99,4070.07,4037.74,4069.56,66060
