time,open,high,low,close,Volume
1408568400,1291.7505,1292.131,1273.055,1276.921,53305
1408654800,1276.921,1283.1435,1274.364,1281.1425,37376
1408914000,1281.1425,1281.705,1269.184,1276.9175,25946
1409000400,1276.9175,1291.0955,1275.256,1281.418,44571
1409086800,1281.418,1287.409,1280.133,1282.8285,24826
1409173200,1282.8285,1296.7215,1282.158,1289.666,50033
1409259600,1289.666,1291.3985,1283.4365,1287.584,30117
1409518800,1287.584,1289.9945,1285.0265,1287.2255,12465
1409605200,1287.2255,1287.9165,1262.527,1265.442,58964
1409691600,1265.442,1271.641,1261.2245,1269.3,43776
1409778000,1269.3,1277.374,1260.666,1261.5625,76716
1409864400,1261.5625,1273.9655,1257.259,1269.1095,50414
1410123600,1269.1095,1271.91,1251.531,1255.396,35467
1410210000,1255.396,1258.321,1247.537,1255.346,46053
1410296400,1255.346,1257.839,1243.921,1249.8255,52621
1410382800,1249.8255,1250.628,1234.9525,1240.9155,65041
1410469200,1240.9155,1241.881,1227.6335,1229.414,53032
1410728400,1229.414,1238.6565,1225.6705,1233.3425,40804
1410814800,1233.3425,1242.0125,1231.7715,1235.5565,46766
1410901200,1235.5565,1239.579,1221.4995,1223.417,89603
1410987600,1223.417,1228.0995,1215.5865,1225.0615,75049
1411074000,1225.0615,1228.6835,1213.8355,1215.7635,103786
1411333200,1215.7635,1220.6075,1208.177,1215.1455,62283
1411419600,1215.1455,1235.3115,1213.9505,1223.485,70458
1411506000,1223.485,1226.3,1215.741,1216.963,60157
1411592400,1216.963,1224.787,1206.9995,1221.655,101166
1411678800,1221.655,1231.502,1212.3595,1218.319,74067
1411938000,1218.319,1223.423,1214.963,1215.754,50378
1412024400,1215.754,1220.2135,1204.453,1208.127,111736
1412110800,1208.127,1219.4285,1204.8335,1213.7895,95748
1412197200,1213.7895,1223.2125,1208.7895,1214.4665,103774
1412283600,1214.4665,1215.515,1190.077,1191.2895,100286
1412542800,1191.2895,1209.153,1183.106,1207.296,73509
1412629200,1207.296,1213.4765,1202.914,1208.9265,101959
1412715600,1208.9265,1224.3775,1204.989,1221.146,100409
1412802000,1221.146,1233.5615,1219.042,1224.4415,89790
1412888400,1224.4415,1225.574,1217.478,1223.059,83316
1413147600,1223.059,1237.77,1223.059,1235.85,67803
1413234000,1235.85,1238.537,1230.97,1232.7275,65745
1413320400,1232.7275,1249.823,1222.0265,1241.848,192199
1413406800,1241.848,1245.384,1235.2095,1239.0435,143299
1413493200,1239.0435,1241.7955,1231.814,1238.582,70056
1413752400,1238.582,1248.749,1234.638,1246.8115,49288
1413838800,1246.8115,1255.3985,1245.367,1248.969,85129
1413925200,1248.969,1250.047,1240.573,1241.383,62840
1414011600,1241.383,1244.71,1226.396,1231.8375,70270
1414098000,1231.8375,1234.515,1228.6345,1231.2045,41203
1414357200,1231.2045,1232.0725,1225.609,1226.674,37514
1414443600,1226.674,1235.8235,1222.507,1228.55,65632
1414530000,1228.55,1230.7345,1208.4835,1211.8205,51908
1414616400,1211.8205,1216.94,1195.9675,1198.908,86979
1414702800,1198.908,1202.883,1161.0985,1173.157,182206
1414965600,1173.157,1173.9735,1161.6085,1165.648,98699
1415052000,1165.648,1175.7995,1164.046,1168.3,90975
1415138400,1168.3,1169.8155,1137.7795,1140.5145,196970
1415224800,1140.5145,1149.771,1138.1345,1142.0515,139815
1415311200,1142.0515,1178.964,1131.306,1177.585,231033
1415570400,1177.585,1178.7645,1147.394,1151.92,137185
1415656800,1151.92,1173.4865,1146.17,1163.965,184129
1415743200,1163.965,1170.309,1157.3385,1162.8735,135034
1415829600,1162.8735,1168.7305,1153.857,1162.6415,148842
1415916000,1162.6415,1193.8285,1146.8615,1189.1075,264127
1416175200,1189.1075,1194.4615,1181.5625,1186.4605,186841
1416261600,1186.4605,1204.863,1183.5275,1196.8195,149236
1416348000,1196.8195,1202.377,1175.3255,1182.572,226178
1416434400,1182.572,1197.3415,1176.923,1193.722,78391
1416520800,1193.722,1208.087,1186.909,1201.5245,73025
